day,category,count
201,Support & Service Issues,1
201,Content Discovery Issues,0
201,Listening Related Issues,0
201,Content Quality Issues,0
201,User Experience Issues,0
201,Localization Issues,0
203,Coins Related Issues,1
203,Ads Related Issues,0
203,Content Discovery Issues,0
203,Listening Related Issues,0
203,Content Quality Issues,0
203,User Experience Issues,0
203,Support & Service Issues,0
203,Localization Issues,0
205,Coins Related Issues,1
205,User Experience Issues,2
205,Ads Related Issues,1
205,Content Discovery Issues,0
205,Listening Related Issues,0
205,Content Quality Issues,0
205,Support & Service Issues,0
205,Localization Issues,0
206,User Experience Issues,1
206,Ads Related Issues,0
206,Coins Related Issues,0
206,Content Discovery Issues,0
206,Listening Related Issues,0
206,Content Quality Issues,0
206,Support & Service Issues,0
206,Localization Issues,0
208,User Experience Issues,1
208,Ads Related Issues,0
208,Coins Related Issues,0
208,Content Discovery Issues,0
208,Listening Related Issues,0
208,Content Quality Issues,0
208,Support & Service Issues,0
208,Localization Issues,0
209,Coins Related Issues,1
209,Listening Related Issues,1
209,Ads Related Issues,0
209,Content Discovery Issues,0
209,Content Quality Issues,0
209,User Experience Issues,0
209,Support & Service Issues,0
209,Localization Issues,0
210,Listening Related Issues,1
210,Ads Related Issues,0
210,Coins Related Issues,0
210,Content Discovery Issues,0
210,Content Quality Issues,0
210,User Experience Issues,0
210,Support & Service Issues,0
210,Localization Issues,0
211,Listening Related Issues,1
211,User Experience Issues,1
211,Ads Related Issues,0
211,Coins Related Issues,0
211,Content Discovery Issues,0
211,Content Quality Issues,0
211,Support & Service Issues,0
211,Localization Issues,0
212,Coins Related Issues,1
212,Ads Related Issues,0
212,Content Discovery Issues,0
212,Listening Related Issues,0
212,Content Quality Issues,0
212,User Experience Issues,0
212,Support & Service Issues,0
212,Localization Issues,0
214,Content Quality Issues,1
214,Coins Related Issues,2
214,User Experience Issues,1
214,Support & Service Issues,1
214,Ads Related Issues,0
214,Content Discovery Issues,0
214,Listening Related Issues,0
